,Name,Author,Price
297,The Power of Now,Eckhart Tolle,"US$12.18
                        
                             US$19.75"
298,Convenience Store Woman,Sayaka Murata,US$11.05
299,Grandmaster of Demonic Cultivation: Mo Dao Zu Shi (Novel) Vol. 2,Mo Xiang Tong Xiu,US$22.09
300,Me vs Brain,Hayley Morris,US$34.21
301,Atomic Habits,James Clear,US$23.29
302,The Letters I Will Never Send,Isabella Dorta,US$18.08
303,It Ends With Us: The most heartbreaking novel you'll ever read,Colleen Hoover,US$12.98
304,Final Offer,Lauren Asher,US$15.71
305,The Body Keeps the Score,Bessel van der Kolk,US$18.95
306,UPROAR!,Alice Loxton,US$30.15
307,Verity,Colleen Hoover,US$13.30
308,Icebreaker,Hannah Grace,US$13.43
309,Timeless Textured Baby Crochet,Vita Apala,US$24.99
310,The Midnight Library,Matt Haig,US$12.46
311,Before the Coffee Gets Cold,Toshikazu Kawaguchi,US$13.48
312,Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,US$13.13
313,The Psychology of Money,Morgan Housel,US$19.07
314,The Fine Print,Lauren Asher,US$14.44
315,How to Paint Without a Brush,Red Hong Yi,US$35.00
316,The Reverse Coloring Book (R),Kendra Norton,US$17.42
317,Twisted Love,Ana Huang,US$13.65
318,The Mini ADHD Coach,Alice Gendron,US$20.49
319,Small Things Like These,Claire Keegan,US$11.88
320,Terms and Conditions,Lauren Asher,US$14.88
321,12 Rules for Life,Jordan B. Peterson,US$16.29
322,The Daily Stoic,Ryan Holiday,US$15.03
323,Things We Never Got Over,Lucy Score,US$14.27
324,I Don't Need Therapy,Toni Lodge,US$22.82
325,Glucose Revolution,Jessie Inchauspe,"US$18.72
                        
                             US$20.49"
326,Heaven Official's Blessing: Tian Guan Ci Fu (Novel) Vol. 5,Mo Xiang Tong Xiu,US$24.19
327,Spare,Prince Harry the Duke of Sussex,"US$28.50
                        
                             US$33.77"
328,Things We Hide From The Light,Lucy Score,US$15.13
329,The Silent Patient,Alex Michaelides,US$11.89
330,Grandmaster of Demonic Cultivation: Mo Dao Zu Shi (Novel) Vol. 5 (Special Edition),Mo Xiang Tong Xiu;,US$26.99
331,Twisted Games,Ana Huang,US$14.53
332,The One Thing,Gary Keller,"US$12.12
                        
                             US$13.26"
333,Bored of Lunch: The Healthy Slow Cooker Book,Nathan Anthony,US$29.09
334,"The Boy, The Mole, The Fox and The Horse",Charlie Mackesy,US$24.78
335,Strong Female Character,Fern Brady,"US$20.23
                        
                             US$20.49"
336,Chain of Thorns,Cassandra Clare,US$37.73
337,The Husky and His White Cat Shizun: Erha He Ta De Bai Mao Shizun (Novel) Vol. 2,Rou Bao Bu Chi Rou,US$25.98
338,The Parenting Map,Shefali Tsabary,US$37.72
339,Where the Crawdads Sing,Delia Owens,US$12.84
340,Four Thousand Weeks,Oliver Burkeman,US$14.76
341,Attached,Amir Levine,US$14.98
342,Foster,Claire Keegan,US$11.87
343,Everything I Know About Love,Dolly Alderton,US$15.56
344,Manifest,Roxie Nafousi,US$21.33
345,"Thinking, Fast and Slow",Daniel Kahneman,"US$18.54
                        
                             US$20.25"
346,The Secret History,Donna Tartt,US$17.12
347,Daisy Jones and The Six,Taylor Jenkins Reid,US$15.06
348,Ugly Love,Colleen Hoover,"US$12.66
                        
                             US$13.00"
349,Twisted Lies,Ana Huang,US$15.57
350,Climate,Whitney Hanson,US$19.87
351,Grandmaster of Demonic Cultivation: Mo Dao Zu Shi (Novel) Vol. 4,Mo Xiang Tong Xiu,US$22.48
352,Twisted Hate,Ana Huang,US$15.16
353,A Man Called Ove,Fredrik Backman,US$11.58
354,The Untethered Soul,Michael A. Singer,"US$16.74
                        
                             US$18.95"
355,King of Wrath,Ana Huang,US$14.06
356,The Thursday Murder Club,Richard Osman,US$13.78
357,Heaven Official's Blessing,Mo Xiang Tong Xiu,US$22.48
358,The Song of Achilles,Madeline Miller,US$14.48
359,Gothikana: A Dark Academia Gothic Romance: TikTok Made Me Buy it!,RuNyx,US$14.59
360,The Invisible Life of Addie LaRue - Illustrated edition,V.E. Schwab,US$26.10
361,Girl in Pieces,Kathleen Glasgow,US$14.58
362,No Bad Parts,Richard C. Schwartz,"US$15.82
                        
                             US$19.99"
363,Once Upon A Broken Heart,Stephanie Garber,US$13.71
364,The Science of Stuck: Breaking Through Inertia to Find Your Path Forward,Britt Frank,"US$17.29
                        
                             US$18.08"
365,Sabai,Pailin Chongchitnant,US$63.43
366,Emily Wilde's Encyclopaedia of Faeries,Heather Fawcett,US$24.86
367,Start With Why,Simon Sinek,"US$13.63
                        
                             US$21.75"
368,The Concise 48 Laws Of Power,Robert Greene,"US$12.12
                        
                             US$15.50"
369,Heaven Official's Blessing: Tian Guan Ci Fu (Novel) Vol. 4,Mo Xiang Tong Xiu,US$23.18
370,Adult Children of Emotionally Immature Parents,Lindsay C Gibson,"US$17.18
                        
                             US$18.95"
371,The Invisible String,Patrice Karst,US$13.16
372,All About Love,bell hooks,"US$14.75
                        
                             US$16.99"
373,Never Split the Difference,Chris Voss,US$14.76
374,The Things We Leave Unfinished,Rebecca Yarros,US$15.00
375,"Vagabond (VIZBIG Edition), Vol. 2",Takehiko Inoue,US$31.77
376,Magnolia Parks,Jessa Hastings,US$19.63
377,No Longer Human,Osamu Dazai,US$15.45
378,The Art of War,Sun Tzu,US$6.32
379,Heaven Official's Blessing: Tian Guan Ci Fu (Novel) Vol. 3,Mo Xiang Tong Xiu,US$20.54
380,The Parenting Map,Dr Shefali Tsabary,US$33.73
381,Young Forever,Mark Hyman,"US$19.84
                        
                             US$20.49"
382,Cold Enough for Snow,Jessica Au,"US$13.19
                        
                             US$15.00"
383,The Herbal Astrology Oracle,Adriana Ayales,"US$21.00
                        
                             US$26.99"
384,Heaven Official's Blessing: Tian Guan Ci Fu (Novel) Vol. 2,Mo Xiang Tong Xiu,US$19.84
385,Better Than the Movies,Lynn Painter,US$14.22
386,If We Were Villains: The Sensational TikTok Book Club pick,M. L. Rio,US$15.08
387,Heaven Official's Blessing: Tian Guan Ci Fu (Novel) Vol. 6,Mo Xiang Tong Xiu,US$19.99
388,The Mysteries,Bill Watterson,US$19.99
389,Have You Filled A Bucket Today?,Carol McCloud,US$13.38
390,Leviathan Falls,James S. A. Corey,US$16.10
391,The Man Who Died Twice,Richard Osman,US$14.38
392,Meditations,Marcus Aurelius,US$13.37
393,Three Widows,Patricia Gibney,US$22.71
394,There Are Moms Way Worse Than You,Glenn Boozan,US$18.44
395,"Vagabond (VIZBIG Edition), Vol. 3",Takehiko Inoue,US$31.39
396,A Good Girl's Guide to Murder,Holly Jackson,US$14.09
397,Deep Work,Cal Newport,"US$17.84
                        
                             US$18.08"
398,Women Who Run with the Wolves,Clarissa Pinkola Estes,US$14.80
399,When the Body Says No,Gabor Mate,US$16.72
400,The Husky and His White Cat Shizun: Erha He Ta De Bai Mao Shizun (Novel) Vol. 1,Rou Bao Bu Chi Rou,US$20.54
401,Look Inside Your Body,Louie Stowell,US$19.35
402,1984,George Orwell,"US$12.79
                        
                             US$17.75"
403,Lessons in Chemistry,Bonnie Garmus,US$12.05
404,Scattered Minds,Gabor Mate,US$17.16
405,Reminders of Him,Colleen Hoover,"US$15.73
                        
                             US$15.95"
406,A Court of Thorns and Roses,Sarah J. Maas,US$14.44
407,"Vagabond (VIZBIG Edition), Vol. 1",Takehiko Inoue,US$34.23
408,Meditations,Marcus Aurelius,US$11.65
409,Die With Zero,Bill Perkins,US$19.22
410,"Chainsaw Man, Vol. 4",Tatsuki Fujimoto,US$11.76
411,Heaven Official's Blessing: Tian Guan Ci Fu (Novel) Vol. 7,Mo Xiang Tong Xiu,US$19.99
412,The Case Against the Sexual Revolution,L Perry,"US$18.28
                        
                             US$19.95"
413,I Want My Hat Back,Jon Klassen,"US$11.18
                        
                             US$15.50"
414,The Light Seer's Tarot,Chris-Anne,"US$22.81
                        
                             US$24.99"
415,Chip War,Chris Miller,US$23.59
416,The Stranger,Albert Camus,US$15.43
417,The Power of Now,Eckhart Tolle,"US$12.18
                        
                             US$19.75"
418,Convenience Store Woman,Sayaka Murata,US$11.05
419,Grandmaster of Demonic Cultivation: Mo Dao Zu Shi (Novel) Vol. 2,Mo Xiang Tong Xiu,US$22.09
420,The World According to Kaleb,Kaleb Cooper,"US$23.74
                        
                             US$24.99"
421,Daisy Haites,Jessa Hastings,US$19.36
422,How to Meet Your Self,Nicole LePera,US$25.57
423,The Bell Jar,Sylvia Plath,US$22.75
424,Lockwood & Co: The Whispering Skull,Jonathan Stroud,US$18.42
425,The Book You Wish Your Parents Had Read (and Your Children Will Be Glad That You Did),Philippa Perry,US$15.17
426,The Very Hungry Caterpillar,Eric Carle,US$11.90
